"","original","text"
"51","Maybe I'm a dork and don't get the movie, but wouldn't #TheGreatestShowman  have be better from the point of view of the circus freaks? I mean, in the movie, Barnum uses them to make money and I'm supposed to clap and say live your dream to make money and exploit others? Meh","maybe am dork do not get movie not have be better point view circus freaks mean movie barnum uses make money am supposed clap say live dream make money exploit others"
"52","‘Cause every night I lie in bed
The brightest colors fill my head
A million dreams are keeping me awake
.
#coversong #songcover #1minutecover #tuneytuesday #amilliondreams #thegreatestshowman #musical #piano https://t.co/LDkDZnWW2m","cause night lie bed brightest colors fill head dreams are keeping awake"
"53","Every night I lie in bed
The brightest colors fill my head
A million dreams are keeping me awake
I think of what the world could be
A vision of the one I see
A million dreams is all it's gonna take
<f0><U+009F><U+0092><U+0099><f0><U+009F><U+008C><U+008C><f0><U+009F><U+0092><U+0099>

#tryingtoheal #healing #TheGreatestShowman","night lie bed brightest colors fill head dreams are keeping awake think world be vision see dreams is is going take"
"54","Really love what @emoniwilkins &amp; #7thAveBand did with this cover! #ThisIsMe #TheGreatestShowman https://t.co/vLP9edzEq3","really love did cover"
"55","My mom is STILL playing the #TheGreatestShowman soundtrack, but I am not sick of it yet... My only explanation is that @kealasettle is a siren whose magic voice has made the soundtrack irresistable #sheamermaid","mom is still playing soundtrack am not sick only explanation is is siren magic voice has made soundtrack irresistable"
"56","When you find videos on your phone from the weekend <f0><U+009F><U+0098><U+0086> @Zendaya #thegreatestshowman #soundtrackonrepeat https://t.co/ZUwzBoqXF5","find videos phone weekend"
"57","Update: I'm tired. I want to sleep. But, I'm not going to sleep. I'm watching The Greatest Showman for the third time, might be the fourth..and I'm working on book work...I will be staying up til midnight. 

#unsolicitedupdate #TheGreatestShowman #amplanning #imup https://t.co/BaqPshvfJU","update am tired want sleep am not going sleep am watching greatest showman third time be fourth am working book work be staying midnight"
"58","My nephew Tiger watching his favorite show #TheGreatestShowman @RealHughJackman https://t.co/EnlVMMDBsu","nephew tiger watching favorite show"
"59","My daughter keeps singing songs from #TheGreatestShowman so my wife suggested we watch it. With a sigh I agreed as it’s really not my thing. But it was actually very good &amp; entertaining. Great work @RealHughJackman <f0><U+009F><U+0091><U+008D><f0><U+009F><U+008F><U+00BB>","daughter keeps singing songs wife suggested watch sigh agreed thing was actually very good entertaining great work"
"60","The real MVP...
#TheGreatestShowman https://t.co/RLZ00rfwYq","real mvp"
"61","#TheGreatestShowman is a wonderful feel good film, and I’m legitimately bummed I’ve only just seen it and missed my opportunity to see it in theaters.

Now excuse me, I’m off to buy the soundtrack... https://t.co/Bgzm1z6wck","is wonderful feel good film i am legitimately bummed have only just seen missed opportunity see theaters now excuse i am off buy soundtrack"
"62","@CourtneyBarnett will do battle with #TheGreatestShowman, @PostMalone's 'beerbongs &amp; bentleys', and another debut release. https://t.co/p2eU6sjvXc","do battle beerbongs bentleys debut release"
"63","Also, as Charity Barnum puts it, ""You don't need everyone to love you. Just a few good people."" Find your few good people..  #TheGreatestShowman","charity barnum puts do not need everyone love just few good people find few good people"
"64","Anyone else enjoy this as much as we did?
Looking forward to the release of 'The Greatest Showman' from Kimchidvd any day now &lt;3 Check out all the details below!
https://t.co/JiqOMLUfUG

#TheGreatestShowman #HughJackman #MichelleWilliams #BluRay #Film #Movies #Musical https://t.co/3L92xDtfhF","anyone else enjoy as much did looking forward release greatest showman kimchidvd day now long time check details"
"65","""I'm not scared to be seen
I make no apologies, this is me."" @kealasettle and #TheGreatestShowman ensemble <f0><U+009F><U+0092><U+009C> #RespectMyExistence","am not scared be seen make apologies is ensemble"
"66","Hey @kealasettle I know you’re very busy but here’s a video of my little brothers solo in #thisisme at his choir concert! Thank you in advanced if you watch! #TheGreatestShowman https://t.co/p4UTxs0Dnz","know very busy heres video little brothers solo choir concert thank advanced watch"
"67","I thought for sure @lorenallred would be a part of this seasons @NBCTheVoice finale.. considering her smash hit from #TheGreatestShowman <f0><U+009F><U+0099><U+0081> #thevoicefinale","thought sure be part seasons finale considering smash hit"
"68","May showed us during worship how The Greatest Showman relates to our Survival Guide series. We must remember who we are...We are glorious! #thegreatestshowman https://t.co/SUuJz0qilm","showed worship how greatest showman relates survival guide series remember are are glorious"
"69","Second time watching #TheGreatestShowman &amp; goosebumps all over again, literally can’t fault this film it’s absolutely perfect<f0><U+009F><U+0098><U+00AD><f0><U+009F><U+0099><U+008C>","second time watching goosebumps fault film absolutely perfect"
"70","""no one ever made a difference by being like everyone else"" #TheGreatestShowman","one ever made difference being everyone else"
"71","I think I’m the only person on planet earth that’s not seen #TheGreatestShowman with no intention on seeing it either.","think am only person planet earth not seen intention seeing"
"72","Casually bawling while listening to #TheGreatestShowman soundtrack on repeat. Listening to these songs a million times will #neverbeenough","casually bawling listening soundtrack repeat listening songs times"
"73","Finally watched #TheGreatestShowman and I suddenly feel like taking on the world <f0><U+009F><U+0098><U+008D>","finally watched suddenly feel taking world smiling face heart shaped eyes"
"74","Wow, that opening number from #TheGreatestShowman !!! <f0><U+009F><U+0091><U+008C> https://t.co/oTwh7CmwR1","wow opening number"
"75","Every time I watch the greatest showman I just picture Britney Spears as the ringleader <f0><U+009F><U+008E><U+00AA>#britneyspears #circus #thegreatestshowman https://t.co/5fgineJ0Nx","time watch greatest showman just picture britney spears ringleader"
"76","“The noblest art is that of making others happy” P.T.Barnum

I think I want to live by this motto. Happiness will always cure you!
#TheGreatestShowman","noblest art is making others happyp barnum think want live motto happiness always cure"
"77","Will never grow old #TheGreatestShowman","never grow old"
"78","Congratulations on The Greatest Showman release in Japan!!<f0><U+009F><U+008E><U+00A9>
""Impossible comes true ""made an impression on me<f0><U+009F><U+0098><U+0082>I'm glad to know TGS <f0><U+009F><U+0098><U+0086> thanks!!
#TheGreatestShowman 
@RealHughJackman 
@GreatestShowman https://t.co/vjSHZO6NhC","congratulations greatest showman release japan impossible comes true made impression am glad know tgsanks"
"79","This Is Me from #TheGreatestShowman is the pumpkin spiced latte of the musical theatre world don't @ me https://t.co/nkgOv7e7qa","is is pumpkin spiced latte musical theatre world do not"
"80","Lettie is fabulous.  She can even rock a beard.  #TheGreatestShowman","lettie is fabulous even rock beard"
"81","You loved #TheGreatestShowman ? Here is a lovely and heartbraking cover from @evynnehollens and @PeterHollens <f0><U+009F><U+0092><U+009E>","loved here is lovely heartbraking cover"
"82","I’m 10 mins into #TheGreatestShowman and I’m already IN LOVEEE OMG","i am minutes am already lovee God"
"83","My review of #TheGreatestShowman DVD :) https://t.co/LEfEW3xHwv","review dvd"
"84","GUESS WHAT CAME TODAYYY 
<f0><U+009F><U+0098><U+008D><f0><U+009F><U+0098><U+008D><f0><U+009F><U+0098><U+008D><f0><U+009F><U+0098><U+008D><f0><U+009F><U+0098><U+008D> #FINALLY #TheGreatestShowman https://t.co/RK1iOb3v1m","guess came todayy"
"85","Do you feel you are enough? I certainly didn't for a long time. https://t.co/a1xRzMoZp3 #socialmedia #forbes #thegreatestshowman #BeingEnough #YouAreEnough https://t.co/RNMIGtlmlM","do feel are enough certainly did not long time"
"86","#Sheetmusic Never Enough from #TheGreatestShowman for #piano available on #SheetMusicPlus. #filmmusic #cover #music #musical #keyboard #instrumental #song #pianocover #pianomusic #popmusic @smppressmusic @SheetMusicPlus @GreatestShowman https://t.co/zHrXv9058i","available"
"87","2nd time to watch The Greatest Showman today. The music and visuals are breathtaking!
#TheGreatestShowman #Wolverine","time watch greatest showman today music visuals are breathtaking"
"88","The Greatest Showman - Rewrite the Stars - Evynne &amp; Peter Hollens https://t.co/4dFpYwmIVo via @YouTube
@evynnehollens + @PeterHollens + #TheGreatestShowman = Awesomeness! 
Beautiful cover of a beautiful duet.","greatest showman rewrite stars evynne peter hollens"
"89","And From now on has set me off crying again <f0><U+009F><U+0098><U+00AD> #thegreatestshowman","has set crying again loudly crying face"
"90","How have I only just seen The Greatest Showman... it’s beyond amazing <f0><U+009F><U+0098><U+008D> #TheGreatestShowman #magic #feelgoodfilm","how have only just seen greatest showman amazing smiling face heart shaped eyes"
"91","somehow i put my @applemusic on repeat and have listened to #NeverEnough from #thegreatestshowman half a dozen times in a row.  @lorenallred","somehow put repeat have listened dozen times row"
"92","@RealHughJackman Hey Hugh do you think you could spare a moment of your time to send a message of support to my wife Sarah who is currently undergoing chemotherapy for breast cancer? it would really mean a lot to me and give her a massive boost! #dailytweet #thegreatestshowman","hugh do think spare moment time send message support wife sarah is currently undergoing chemotherapy breast cancer really mean lot give massive boost"
"93","Celebrating the fact that @harrietgreen_97 is officially a Graduand watching #TheGreatestShowman eating #DominosPizza. I am one very #LuckyMummy <f0><U+009F><U+008E><U+0089><f0><U+009F><U+008E><U+0093><f0><U+009F><U+008E><U+0089><f0><U+009F><U+008E><U+0093><f0><U+009F><U+008E><U+0089>","celebrating fact is officially graduand watching eating am"
"94","Rewrite the stars from #TheGreatestShowman makes me cry <f0><U+009F><U+0098><U+00AD>","rewrite stars makes cry loudly crying face"
"95","Are we just gonna ignore the fact that the #bartender was the real hero during “The Other Side” routine? That clap-snap tho.  #TheGreatestShowman","are just going ignore fact was real hero other sideroutine clap snap"
"96","Watching #TheGreatestShowman again.pretty sure I know all @ZacEfron lines now. 
#TuesdayThoughts 
@RealHughJackman 
#Iwish 
#singalong","watching again pretty sure know lines now"
"97","That’s it, I want to live my life in song and dance!!

#TheGreatestShowman","want live life song dance"
"98","Whether we’re a showman or a bearded lady, the Spirit makes distinctions fade away and make us all one body. Thanks to Pastor Will Kemp for a great sermon this last Sunday!

https://t.co/MMdZngnPa1

#tgftexas #tangiblegrace #allentx #ntx #lcms #acts #thegreatestshowman","were showman bearded lady spirit makes distinctions fade away make body thanks pastor kemp great sermon last sunday"
"99","Guess what??!!  PEI's Greatest Showman will be here tomorrow!! (Just HAD to keep with the theme of the day!)  Join us for singing and dancing at 10.15am with the Music Man.
(Show inc. with reg. admission) 
#LoveTheMusicMan #WednesdayFun  #TheGreatestShowman #PEI https://t.co/awpum5hYLt","guess pei greatest showman be here tomorrow just had keep theme day join singing dancing am music man show inc reg admission"
"100","All I’m saying is if #TheGreatestShowman  had come out before the referendum and the US election, brexit wouldn’t  have happened and Trump would have lost. People who are happy don’t vote for stupid stuff","am saying is had come referendum election brexit have happened trump have lost people are happy do not vote stupid stuff"
"101","Rewrite the stars is just a beautiful song <f0><U+009F><U+0098><U+008C> #TheGreatestShowman https://t.co/ApV1u3D63v","rewrite stars is just beautiful song"
"102","So wild that the #1 album on the @iTunes store right now is #TheGreatestShowman soundtrack! Such legs!! Cuz it’s a brilliant piece of art! https://t.co/MHwHbK7qik","so wild album store right now is soundtrack such legs brilliant piece art"
"103","Watched #TheGreatestShowman yesturday, not a massive film person but omg I’m in love<U+263A><U+FE0F><f0><U+009F><U+0099><U+0088>","watched yesturday not massive film person God i am lovewhite smiling facesee no evil monkey"
"104","I know I’m late to the party, but I’ve finally watched #TheGreatestShowman and my biggest question is why isn’t everyone talking about Ashley Wallen’s choreography?! It’s impactful and sensational.","know am late party i have finally watched biggest question is why isnt everyone talking ashley wallens choreography impactful sensational"
"105","The latest Portsmouth &amp; Southsea Daily ! https://t.co/WXA4O5xpgz Thanks to @SpinnakerTower @LoveSouthseaUK @newtheatreroyal #pompey #thegreatestshowman","latest portsmouth southsea daily"
"106","I love all her silly moments <f0><U+009F><U+0098><U+0082><f0><U+009F><U+0092><U+009C>#ParisLeighBentley #TheGreatestShowman https://t.co/jtjNGG9Tgg","love silly moments"
"107","And yes, I am watching #TheGreatestShowman again.","yes am watching again"
"108","The songs fit so perfectly in the movie #TheGreatestShowman","songs fit so perfectly movie"
"109","Musicals, as well as dance movies have my whole heart. 
So of course #TheGreatestShowman was absolutely thrilling for me. Thrilling.","musicals as well dance movies have whole heart course was absolutely thrilling thrilling"
"110","One for me, one for my friend's birthday <f0><U+009F><U+008E><U+0089> @GreatestShowman #TheGreatestShowman https://t.co/fMiaTmj0Hy","friend birthday"
"111","The songs still give me a goosebumps and I love it!! #TheGreatestShowman","songs still give goosebumps love"
"112","Amazing musical movie. The songs are remarkable. Commended 
#TheGreatestShowman","amazing musical movie songs are remarkable commended"
