"","Description","Native","BigBytes","R_Encoding","Bytes","Spaced.Bytes"
"422","LEAF FLUTTERING IN WIND ","🍃","F0 9F 8D 83","<ed><a0><bc><ed><bd><83>","f0 9f 8d 83","f0 9f 8d 83"
"423","LEDGER ","📒","F0 9F 93 92","<ed><a0><bd><ed><b3><92>","f0 9f 93 92","f0 9f 93 92"
"424","LEFT LUGGAGE ","🛅","F0 9F 9B 85","<ed><a0><bd><ed><bb><85>","f0 9f 9b 85","f0 9f 9b 85"
"425","LEFT RIGHT ARROW ","↔","E2 86 94","<e2><86><94>","e2 86 94","e2 86 94"
"426","LEFT-POINTING MAGNIFYING GLASS ","🔍","F0 9F 94 8D","<ed><a0><bd><ed><b4><8d>","f0 9f 94 8d","f0 9f 94 8d"
"427","LEFTWARDS ARROW WITH HOOK ","↩","E2 86 A9","<e2><86><a9>","e2 86 a9","e2 86 a9"
"428","LEFTWARDS BLACK ARROW ","⬅","E2 AC 85","<e2><ac><85>","e2 ac 85","e2 ac 85"
"429","LEMON ","🍋","F0 9F 8D 8B","<ed><a0><bc><ed><bd><8b>","f0 9f 8d 8b","f0 9f 8d 8b"
"430","LEO ","♌","E2 99 8C","<e2><99><8c>","e2 99 8c","e2 99 8c"
"431","LEOPARD ","🐆","F0 9F 90 86","<ed><a0><bd><ed><b0><86>","f0 9f 90 86","f0 9f 90 86"
"432","LIBRA ","♎","E2 99 8E","<e2><99><8e>","e2 99 8e","e2 99 8e"
"433","LIGHT RAIL ","🚈","F0 9F 9A 88","<ed><a0><bd><ed><ba><88>","f0 9f 9a 88","f0 9f 9a 88"
"434","LINK SYMBOL ","🔗","F0 9F 94 97","<ed><a0><bd><ed><b4><97>","f0 9f 94 97","f0 9f 94 97"
"435","LIPSTICK ","💄","F0 9F 92 84","<ed><a0><bd><ed><b2><84>","f0 9f 92 84","f0 9f 92 84"
"436","LOCK ","🔒","F0 9F 94 92","<ed><a0><bd><ed><b4><92>","f0 9f 94 92","f0 9f 94 92"
"437","LOCK WITH INK PEN ","🔏","F0 9F 94 8F","<ed><a0><bd><ed><b4><8f>","f0 9f 94 8f","f0 9f 94 8f"
"438","LOLLIPOP ","🍭","F0 9F 8D AD","<ed><a0><bc><ed><bd><ad>","f0 9f 8d ad","f0 9f 8d ad"
"439","LOUDLY CRYING FACE ","😭","F0 9F 98 AD","<ed><a0><bd><ed><b8><ad>","f0 9f 98 ad","f0 9f 98 ad"
"440","LOVE HOTEL ","🏩","F0 9F 8F A9","<ed><a0><bc><ed><bf><a9>","f0 9f 8f a9","f0 9f 8f a9"
"441","LOVE LETTER ","💌","F0 9F 92 8C","<ed><a0><bd><ed><b2><8c>","f0 9f 92 8c","f0 9f 92 8c"
"442","LOW BRIGHTNESS SYMBOL ","🔅","F0 9F 94 85","<ed><a0><bd><ed><b4><85>","f0 9f 94 85","f0 9f 94 85"
"443","MAHJONG TILE RED DRAGON ","🀄","F0 9F 80 84","<ed><a0><bc><ed><b0><84>","f0 9f 80 84","f0 9f 80 84"
"444","MAN ","👨","F0 9F 91 A8","<ed><a0><bd><ed><b1><a8>","f0 9f 91 a8","f0 9f 91 a8"
"445","MAN AND WOMAN HOLDING HANDS ","👫","F0 9F 91 AB","<ed><a0><bd><ed><b1><ab>","f0 9f 91 ab","f0 9f 91 ab"
"446","MAN WITH GUA PI MAO ","👲","F0 9F 91 B2","<ed><a0><bd><ed><b1><b2>","f0 9f 91 b2","f0 9f 91 b2"
"447","MAN WITH TURBAN ","👳","F0 9F 91 B3","<ed><a0><bd><ed><b1><b3>","f0 9f 91 b3","f0 9f 91 b3"
"448","MANS SHOE ","👞","F0 9F 91 9E","<ed><a0><bd><ed><b1><9e>","f0 9f 91 9e","f0 9f 91 9e"
"449","MAPLE LEAF ","🍁","F0 9F 8D 81","<ed><a0><bc><ed><bd><81>","f0 9f 8d 81","f0 9f 8d 81"
"450","MEAT ON BONE ","🍖","F0 9F 8D 96","<ed><a0><bc><ed><bd><96>","f0 9f 8d 96","f0 9f 8d 96"
"451","MEDIUM BLACK CIRCLE ","⚫","E2 9A AB","<e2><9a><ab>","e2 9a ab","e2 9a ab"
"452","MEDIUM WHITE CIRCLE ","⚪","E2 9A AA","<e2><9a><aa>","e2 9a aa","e2 9a aa"
"453","MELON ","🍈","F0 9F 8D 88","<ed><a0><bc><ed><bd><88>","f0 9f 8d 88","f0 9f 8d 88"
"454","MEMO ","📝","F0 9F 93 9D","<ed><a0><bd><ed><b3><9d>","f0 9f 93 9d","f0 9f 93 9d"
